Type,PlayerID,PlayerID_Override,Order,Rosterable,DOB,Range$,Target,Team,Pos,Prj$,Player,Drafted,MyRank,YahRnk,ESPNRnk,Other,TierID,MyLeague$,Yah$,YAvg$,YDelta$,ESPN$,Actual$,Manager,Paid$,Delta$,Surplus,Budget%,PrjPts/Gm,GamesPlayed,EOS_Total,EOS_Avg,EOS_Avg_Delta,EOS_Surplus,Year,Age,Bye,Notes
Player,00-0039894,,113,No,37738,$2-$4,,KC,WR,2,Xavier Worthy,,113,115,119,,W46,2,2,1,-1,1,,,,,,,11.09,14,109.9,7.85,,,3,23,5,
Player,00-0037838,,114,No,36634,$2-$4,,NYG,TE,2,Isaiah Likely,,114,118,126,,T10,2,2,1.8,-0.2,1,,,,,,,8.85,11,55.5,5.045454545,,,5,26,8,
Player,00-0037256,,115,No,36172,$2-$4,,WAS,RB,2,Rachaad White,,115,119,102,,R40,2,2,1.1,-0.9,2,,,,,,,8.91,16,136.9,8.55625,,,5,27,7,
Player,00-0033288,,116,Yes,34251,$2-$4,,SF,TE,2,George Kittle,,116,120,84,,T11,2,2,2,0,1,,,,,,,7.95,10,153.6,15.36,,,10,32,8,
Player,00-0033106,,117,Yes,34621,$2-$4,,DET,QB,2,Jared Goff,,117,129,149,,Q17,2,2,1.2,-0.8,1,,,,,,,20.71,16,335.82,20.98875,,,11,31,6,
Player,00-0034753,,118,No,34948,$1,,BAL,TE,1,Mark Andrews,,118,131,135,,T12,2,1,1.2,0.2,1,,,,,,,9.06,16,127.6,7.975,,,9,30,13,
Player,00-0040667,,119,No,37834,$1,,GB,WR,1,Matthew Golden,,119,137,111,,W47,2,1,1.2,0.2,4,,,,,,,9.77,13,69.13333333,5.317948718,,,2,22,11,
Player,00-0037746,,120,No,36241,$1,,ATL,RB,1,Brian Robinson,,120,147,184,,R41,2,1,1.5,0.5,1,,,,,,,5.53,16,73,4.5625,,,3,27,11,
Player,00-0037197,,121,No,36221,$1,,DET,RB,1,Isiah Pacheco,,121,148,139,,R42,2,1,2.3,1.3,1,,,,,,,4.69,13,87.3,6.715384615,,,5,27,6,
Player,00-0033906,,122,No,34905,$1,,NO,RB,1,Alvin Kamara,,122,149,145,,R43,2,1,1.6,0.6,1,,,,,,,3.01,11,98.7,8.972727273,,,10,30,8,
DST,DEN,,123,Yes,,$1,,DEN,DST,1,Denver,,123,164,79,,D03,2,1,2.2,1.2,1,,,,,,,10.69,16,,,,,,,10,
DST,SEA,,124,Yes,,$1,,SEA,DST,1,Seattle,,124,168,87,,D04,2,1,1.6,0.6,1,,,,,,,13.31,16,,,,,,,11,
Player,00-0039916,,125,Yes,36778,$2-$4,,SF,WR,2,Ricky Pearsall,,125,93,113,,W48,1,2,1.2,-0.8,3,,,,,,,9.21,9,88.6,9.844444444,,,3,25,8,
Player,00-0038933,,126,Yes,36451,$2-$4,,BUF,TE,2,Dalton Kincaid,,126,101,150,,T13,1,2,1.3,-0.7,1,,,,,,,9.3,11,118.3,10.75454545,,,4,26,7,
Player,00-0034351,,127,Yes,34702,$2-$4,,PHI,TE,2,Dallas Goedert,,127,106,93,,T14,1,2,1.3,-0.7,1,,,,,,,7.9,15,185.1,12.34,,,9,31,10,
Player,00-0038117,,128,Yes,36896,$2-$4,,TEN,WR,2,Wan'Dale Robinson,,128,111,104,,W49,1,2,1,-1,3,,,,,,,10.06,16,219.2666667,13.70416667,,,5,25,9,
Player,00-0037263,,129,No,36631,$2-$4,,AZ,RB,2,Tyler Allgeier,,129,112,173,,R44,1,2,1,-1,1,,,,,,,4.74,16,120.1,7.50625,,,5,26,#N/A,
Player,00-0038544,,130,Yes,37140,$2-$4,,LAC,WR,2,Quentin Johnston,,130,113,140,,W50,1,2,1,-1,1,,,,,,,9.93,13,170.2,13.09230769,,,4,24,7,
Player,00-0038041,,131,Yes,36178,$2-$4,,DAL,TE,2,Jake Ferguson,,131,114,103,,T15,1,2,1.4,-0.6,1,,,,,,,9.87,16,184.6,11.5375,,,5,27,14,
Player,00-0037525,,132,No,36304,$2-$4,,MIN,RB,2,Jordan Mason,,132,117,148,,R45,1,2,1.2,-0.8,1,,,,,,,8.36,15,118.5,7.9,,,5,27,6,
Player,00-0038128,,133,Yes,36305,$2-$4,,MIA,QB,2,Malik Willis,,133,121,192,,Q18,1,2,1.1,-0.9,1,,,,,,,17.1,4,56.18,14.045,,,5,27,6,
Player,00-0040130,,134,No,37605,$2-$4,,HOU,WR,2,Jayden Higgins,,134,122,166,,W51,1,2,1.1,-0.9,1,,,,,,,9.8,16,119.2,7.45,,,2,23,8,
Player,00-0039384,,135,Yes,36487,$2-$4,,NYG,RB,2,Tyrone Tracy Jr.,,135,123,187,,R46,1,2,1.1,-0.9,1,,,,,,,7.93,14,137.3,9.807142857,,,3,26,8,
Player,00-0038611,,136,No,36429,$2-$4,,JAX,RB,2,Chris Rodriguez Jr.,,136,124,165,,R47,1,2,1.1,-0.9,1,,,,,,,8.27,11,76.7,6.972727273,,,4,26,7,
Player,00-0039165,,137,Yes,36899,$2-$4,,SEA,RB,2,Zach Charbonnet,,137,126,487,,R48,1,2,1.4,-0.6,1,,,,,,,3.23,15,162.7,10.84666667,,,4,25,11,
Player,00-0039491,,138,No,37194,$2-$4,,CAR,WR,2,Jalen Coker,,138,127,157,,W52,1,2,0,-2,1,,,,,,,9.94,10,72.7,7.27,,,3,24,5,
Player,00-0037816,,139,Yes,36629,$2-$4,,NE,WR,2,Romeo Doubs,,139,128,138,,W53,1,2,1.5,-0.5,1,,,,,,,10.12,16,168.5333333,10.53333333,,,5,26,11,
Player,00-0036264,,140,Yes,36101,$2-$4,,GB,QB,2,Jordan Love,,140,130,170,,Q19,1,2,1.2,-0.8,1,,,,,,,18.19,15,273.14,18.20933333,,,7,27,11,
Player,CON046719,,141,No,38254,$1,,CLE,WR,1,KC Concepcion,,141,132,117,,W54,1,1,1.3,0.3,2,,,,,,,10.09,0,0,0,,,0,21,11,
Player,00-0040743,,142,Yes,36431,$1,,NO,QB,1,Tyler Shough,,142,133,156,,Q20,1,1,1.2,0.2,1,,,,,,,17.8,10,147.2,14.72,,,2,26,8,
Player,00-0040189,,143,Yes,37797,$1,,LAC,TE,1,Oronde Gadsden II,,143,134,204,,T16,1,1,1.1,0.1,1,,,,,,,7.83,14,126.1,9.007142857,,,2,22,7,
Player,00-0040583,,144,Yes,36889,$1,,HOU,RB,1,Woody Marks,,144,135,137,,R49,1,1,1,0,1,,,,,,,6.98,15,138.3,9.22,,,2,25,8,
Player,00-0037261,,145,Yes,36559,$1,,BUF,WR,1,Khalil Shakir,,145,136,131,,W55,1,1,1,0,1,,,,,,,10.35,16,169.5333333,10.59583333,,,5,26,7,
Player,00-0034855,,146,Yes,34803,$1,,TB,QB,1,Baker Mayfield,,146,138,160,,Q21,1,1,1,0,1,,,,,,,18.14,16,295.7,18.48125,,,9,31,10,
Player,00-0038935,,147,Yes,36887,$1,,JAX,TE,1,Brenton Strange,,147,139,194,,T17,1,1,1,0,1,,,,,,,8.38,11,100.8,9.163636364,,,4,25,7,
Player,COL293648,,148,No,37853,$1,,DEN,RB,1,Jonah Coleman,,148,140,219,,R50,1,1,1,0,1,,,,,,,3.53,0,0,0,,,0,22,10,
